Datum,Wochentag,KW,DatumNEU,Jahr,Monat,Tag,Quartal,Schicht,Zeit von,Zeit bis,Dauer Arbeits-zeit,Anzahl MA,Menge N.i. O.,Menge i. O. L4,Menge i. O. L5,MengeGesamtNIO,Dauer Org-Mangel,Dauer Anlagen-Ausfall,Störung aufgrund Vormaterial,Dauer Anlagen-Ausfall intern,Dauer Logistik- Defizite,Station/ OP,Bemerkung,Anzahl/ Std.,Sollzeit/ Stück (Min),Zeit_von_min,Zeit_bis_min,Station/ OP_raw,Station/ OP_1,Station/ OP_2,Fehlercode,Bemerkung_norm,Bemerkung_std,Störfall,Anzahl Störfälle Zeitfenster
2024-01-08,1,2024/02,2024-01-08,2024,1,8,1,f,04:45:00,06:00:00,75.0,5.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,15.0,0.0,,Wartungsplan,0.0,8.5,285.0,360.0,,,,,wartungsplan,wartungsplan,J,2
2024-01-08,1,2024/02,2024-01-08,2024,1,8,1,f,04:45:00,06:00:00,75.0,5.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,R 05,Vakuum Probleme. Robtech informiert,0.0,0.0,285.0,360.0,R 05,R 05,,,vakuum probleme. robtech informiert,vakuum probleme. robtech informiert,J,2
2024-01-08,1,2024/02,2024-01-08,2024,1,8,1,f,06:00:00,07:00:00,60.0,5.0,0.0,0.0,3.0,3.0,0.0,25.0,0.0,0.0,0.0,R 05,Vakuum Probleme. Robtech informiert,0.0,8.5,360.0,420.0,R 05,R 05,,,vakuum probleme. robtech informiert,vakuum probleme. robtech informiert,J,1
2024-01-08,1,2024/02,2024-01-08,2024,1,8,1,f,07:00:00,08:00:00,60.0,5.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,420.0,480.0,,,,,,,N,0
2024-01-08,1,2024/02,2024-01-08,2024,1,8,1,f,08:00:00,09:00:00,60.0,5.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,480.0,540.0,,,,,,,N,0
2024-01-08,1,2024/02,2024-01-08,2024,1,8,1,f,09:30:00,10:00:00,30.0,5.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,570.0,600.0,,,,,,,N,0
2024-01-08,1,2024/02,2024-01-08,2024,1,8,1,f,10:00:00,11:00:00,60.0,5.0,1.0,0.0,3.0,4.0,0.0,20.0,0.0,0.0,0.0,OP 120.1,Querprofil nicht nah genug an Trapezblech gefahren. Robtech informiert,0.0,8.5,600.0,660.0,OP 120.1,OP 120.1,,,querprofil nicht nah genug an trapezblech gefahren. robtech informiert,querprofil nicht nah genug an trapezblech gefahren. robtech informiert,J,1
2024-01-08,1,2024/02,2024-01-08,2024,1,8,1,f,11:00:00,12:00:00,60.0,5.0,0.0,0.0,3.0,3.0,0.0,30.0,0.0,0.0,0.0,OP 120.1,Querprofil nicht nah genug an Trapezblech gefahren. Robtech informiert,0.0,8.5,660.0,720.0,OP 120.1,OP 120.1,,,querprofil nicht nah genug an trapezblech gefahren. robtech informiert,querprofil nicht nah genug an trapezblech gefahren. robtech informiert,J,1
2024-01-08,1,2024/02,2024-01-08,2024,1,8,1,f,12:00:00,13:15:00,75.0,5.0,1.0,0.0,3.0,4.0,0.0,30.0,0.0,0.0,0.0,OP 120.1,Heftpunkte für QT oben nachteachen durch Robtech,0.0,8.5,720.0,795.0,OP 120.1,OP 120.1,,,heftpunkte für qt oben nachteachen durch robtech,heftpunkte für qt oben nachteachen durch robtech,J,1
2024-01-08,1,2024/02,2024-01-08,2024,1,8,1,s,13:15:00,14:00:00,45.0,6.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,15.0,0.0,,Wartungsplan,0.0,8.5,795.0,840.0,,,,,wartungsplan,wartungsplan,J,1
2024-01-08,1,2024/02,2024-01-08,2024,1,8,1,s,14:00:00,15:00:00,60.0,6.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,840.0,900.0,,,,,,,N,0
2024-01-08,1,2024/02,2024-01-08,2024,1,8,1,s,15:00:00,16:00:00,60.0,6.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,900.0,960.0,,,,,,,N,0
2024-01-08,1,2024/02,2024-01-08,2024,1,8,1,s,16:00:00,17:00:00,60.0,6.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,960.0,1020.0,,,,,,,N,0
