Datum,Wochentag,DatumNEU,KW,Schicht,Zeit von,Zeit bis,Dauer Arbeits-zeit,Anzahl MA,Menge N.i. O.,Profi,AHV,Menge Gesamt (Stück),Dauer Org-Mangel,Dauer Anlagen-Ausfall,Störung aufgrund Vormaterial,Dauer Anlagen-Ausfall intern,Dauer Logistik- Defizite,Station/ OP,Unterbrechungsursache,Bemerkung,Fehlercode,Anlagenausfallzeit gesamt,Unterbrechungsursache_final,Zeit_von_min,Zeit_bis_min,Station/ OP_raw,Station/ OP_1,Station/ OP_2,Station/ OP_3,Station/ OP_4,Station/ OP_5,Bemerkung_norm,Bemerkung_std,Unterbrechungsursache_norm,Unterbrechungsursache_std,Unterbrechungsursache_final_norm,Unterbrechungsursache_final_std
2023-01-05,4.0,2023-01-05,2023/01,t,07:00:00,08:00:00,60,2.0,,2.0,,2.0,,,,15.0,,,Freitext,Gestelle anmelden,,15.0,Gestelle anmelden,420.0,480.0,,,,,,,gestelle anmelden,gestelle anmelden,freitext,freitext,gestelle anmelden,gestelle anmelden
2023-01-05,4.0,2023-01-05,2023/01,t,07:00:00,08:00:00,60,2.0,,2.0,,2.0,,,,20.0,,,Wartungsplan,,,20.0,Wartungsplan,420.0,480.0,,,,,,,,,wartungsplan,wartungsplan,wartungsplan,wartungsplan
2023-01-05,4.0,2023-01-05,2023/01,t,07:00:00,08:00:00,60,2.0,,2.0,,2.0,,5.0,,,,R 03,Freitext,"Programmfehler, Greifer defekt, räumen",,5.0,"Programmfehler, Greifer defekt, räumen",420.0,480.0,R 03,R 03,,,,,"programmfehler, greifer defekt, räumen","programmfehler, greifer defekt, räumen",freitext,freitext,"programmfehler, greifer defekt, räumen","programmfehler, greifer defekt, räumen"
2023-01-05,4.0,2023-01-05,2023/01,t,08:00:00,09:00:00,60,2.0,,2.0,,2.0,,60.0,,,,R 03,Freitext,"Programmfehler, Greifer defekt, räumen",,60.0,"Programmfehler, Greifer defekt, räumen",480.0,540.0,R 03,R 03,,,,,"programmfehler, greifer defekt, räumen","programmfehler, greifer defekt, räumen",freitext,freitext,"programmfehler, greifer defekt, räumen","programmfehler, greifer defekt, räumen"
2023-01-05,4.0,2023-01-05,2023/01,t,09:15:00,10:00:00,45,2.0,,2.0,,2.0,,45.0,,,,R 03,Freitext,"Programmfehler, Greifer defekt, räumen",,45.0,"Programmfehler, Greifer defekt, räumen",555.0,600.0,R 03,R 03,,,,,"programmfehler, greifer defekt, räumen","programmfehler, greifer defekt, räumen",freitext,freitext,"programmfehler, greifer defekt, räumen","programmfehler, greifer defekt, räumen"
2023-01-05,4.0,2023-01-05,2023/01,t,10:00:00,11:00:00,60,2.0,,1.0,,1.0,,15.0,,,,R 03,Freitext,"Programmfehler, Greifer defekt, räumen",,15.0,"Programmfehler, Greifer defekt, räumen",600.0,660.0,R 03,R 03,,,,,"programmfehler, greifer defekt, räumen","programmfehler, greifer defekt, räumen",freitext,freitext,"programmfehler, greifer defekt, räumen","programmfehler, greifer defekt, räumen"
2023-01-05,4.0,2023-01-05,2023/01,t,10:00:00,11:00:00,60,2.0,,1.0,,1.0,,30.0,,,,R 06,Zündfehler,"Drahtseele durchblasen, Draht neu verlegen",,30.0,Zündfehler,600.0,660.0,R 06,R 06,,,,,"drahtseele durchblasen, draht neu verlegen","drahtseele durchblasen, draht neu verlegen",zündfehler,zündfehler,zündfehler,zündfehler
2023-01-05,4.0,2023-01-05,2023/01,t,11:00:00,12:00:00,60,2.0,1.0,2.0,,3.0,,5.0,,,,R 07,Zündfehler,,,5.0,Zündfehler,660.0,720.0,R 07,R 07,,,,,,,zündfehler,zündfehler,zündfehler,zündfehler
2023-01-05,4.0,2023-01-05,2023/01,t,11:00:00,12:00:00,60,2.0,1.0,2.0,,3.0,,10.0,,,,R 02,Freitext,"Deckblech fallen gelassen, Schanierhalter schief",,10.0,"Deckblech fallen gelassen, Schanierhalter schief",660.0,720.0,R 02,R 02,,,,,"deckblech fallen gelassen, schanierhalter schief","deckblech fallen gelassen, schanierhalter schief",freitext,freitext,"deckblech fallen gelassen, schanierhalter schief","deckblech fallen gelassen, schanierhalter schief"
2023-01-05,4.0,2023-01-05,2023/01,t,14:00:00,15:00:00,60,3.0,1.0,4.0,,5.0,,10.0,,,,R 02,Freitext,"Deckblech fallen gelassen, Schanierhalter schief",,10.0,"Deckblech fallen gelassen, Schanierhalter schief",840.0,900.0,R 02,R 02,,,,,"deckblech fallen gelassen, schanierhalter schief","deckblech fallen gelassen, schanierhalter schief",freitext,freitext,"deckblech fallen gelassen, schanierhalter schief","deckblech fallen gelassen, schanierhalter schief"
2023-01-05,4.0,2023-01-05,2023/01,t,14:00:00,15:00:00,60,3.0,1.0,4.0,,5.0,,5.0,,,,R 09,Gasdüse getauscht,,,5.0,Gasdüse getauscht,840.0,900.0,R 09,R 09,,,,,,,gasdüse getauscht,gasdüse getauscht,gasdüse getauscht,gasdüse getauscht
2023-01-05,4.0,2023-01-05,2023/01,t,14:00:00,15:00:00,60,3.0,1.0,4.0,,5.0,,12.0,,,,R 01,Freitext,Suchfahrt,,12.0,Suchfahrt,840.0,900.0,R 01,R 01,,,,,suchfahrt,suchfahrt,freitext,freitext,suchfahrt,suchfahrt
2023-01-05,4.0,2023-01-05,2023/01,t,15:00:00,15:45:00,45,3.0,,3.0,,3.0,,5.0,,,,R 09,Freitext,Steckt in der Brennerreinigung fest,,5.0,Steckt in der Brennerreinigung fest,900.0,945.0,R 09,R 09,,,,,steckt in der brennerreinigung fest,steckt in der brennerreinigung fest,freitext,freitext,steckt in der brennerreinigung fest,steckt in der brennerreinigung fest
2023-01-05,4.0,2023-01-05,2023/01,t,15:00:00,15:45:00,45,3.0,,3.0,,3.0,,,,15.0,,,Reinigung,,,15.0,Reinigung,900.0,945.0,,,,,,,,,reinigung,reinigung,reinigung,reinigung
2023-01-06,5.0,2023-01-06,2023/01,t,07:00:00,08:00:00,60,2.0,,3.0,,3.0,,,,20.0,,,Wartungsplan,,,20.0,Wartungsplan,420.0,480.0,,,,,,,,,wartungsplan,wartungsplan,wartungsplan,wartungsplan
