Datum,Wochentag,DatumNEU,KW,Std.,Log,Schicht,Zeit von,Zeit bis,Dauer Arbeits-zeit,Anzahl MA,Menge N.i. O.,Menge i. O. L4,Menge i. O. L5,Menge Gesamt (Stück),Dauer Org-Mangel,Dauer Anlagen-Ausfall,Störung aufgrund Vormaterial,Dauer Anlagen-Ausfall intern,Dauer Logistik- Defizite,Station/ OP,Bemerkung,Anzahl/ Std.,Fehlercode,Sollzeit/ Stück (Min),Takt Gesamt,Leistung Sollzeit zu Gesamtzeit,Anlagen-Laufzeit (- Org-Mangel),Takt Gesamt2,Leistung Anlage inkl. Anl. ausfall,Anlagen-Laufzeit (- Anlagen-ausfall),Takt Gesamt3,Leistung eff. Anlage ohne Anl.-Ausfall,Produktionszeit(min)/ Std.,Takt Gesamt4,Leistung inkl. defizite,Unnamed: 36,Zeit_von_min,Zeit_bis_min,Bemerkung_norm,Bemerkung_std
,5,2023-01-20,2023-01-21 00:00:00,2023-01-22,2023-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
2024-06-25,3,2023-03-29,2023/13,,,,,,,,,,,,,,,20.0,,,Stirnwände Nacharbeiten ( schleifen ) ,,,,,,,,,,,,,,,0.0,,,stirnwände nacharbeiten ( schleifen ),stirnwände nacharbeiten ( schleifen )
2024-06-25,3,2023-03-29,2023/13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
2024-06-25,3,2023-03-29,2023/13,,,f,11:00:00,12:00:00,60.00000000000003,5.0,,,,,,,,,,,,,,8.5,0.0,0%,60.00000000000003,0.0,0%,0.0,0.0,0%,0.0,0.0,0%,0.0,660.0,720.0,,
2024-06-25,3,2023-03-29,2023/13,,,,,,,,,,,,,,,60.0,,,Stirnwände Nacharbeiten ( schleifen ) ,,,,,,,,,,,,,,,0.0,,,stirnwände nacharbeiten ( schleifen ),stirnwände nacharbeiten ( schleifen )
2024-06-25,3,2023-03-29,2023/13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
2024-06-25,3,2023-03-29,2023/13,,,f,12:00:00,13:15:00,75.00000000000006,5.0,,,,,,,,,,,,,,8.5,0.0,0%,75.00000000000006,0.0,0%,0.0,0.0,0%,0.0,0.0,0%,0.0,720.0,795.0,,
2024-06-25,3,2023-03-29,2023/13,,,,,,,,,,,,,,,65.0,,,Stirnwände Nacharbeiten ( schleifen ) ,,,,,,,,,,,,,,,0.0,,,stirnwände nacharbeiten ( schleifen ),stirnwände nacharbeiten ( schleifen )
2024-06-25,3,2023-03-29,2023/13,,,,,,,,,,,,,,,10.0,,,Reinigen,,,,,,,,,,,,,,,0.0,,,reinigen,reinigen
,3,2023-03-29,2023/13,,,,,,0.0,,,,,,,,,,,,,,,8.5,0.0,0%,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0%,0.0,,,,
,3,2023-03-29,2023/13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
,3,2023-03-29,2023/13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
2024-06-25,3,2023-03-29,2023/13,,,s,13:15:00,14:00:00,45.0,5.0,,,,,,,,,,,Wartungsplan,,,8.5,0.0,0%,45.0,0.0,0%,45.0,0.0,0%,45.0,0.0,0%,0.0,795.0,840.0,wartungsplan,wartungsplan
2024-06-25,3,2023-03-29,2023/13,,,,,,,,,,,,,,45.0,,,,Stirnwände Nacharbeiten ( schleifen ) ,,,,,,,,,,,,,,,0.0,,,stirnwände nacharbeiten ( schleifen ),stirnwände nacharbeiten ( schleifen )
2024-06-25,3,2023-03-29,2023/13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
2024-06-24,3,2023-03-29,2023/13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
2024-06-25,3,2023-03-29,2023/13,,,f,10:00:00,11:00:00,59.99999999999995,5.0,,,3.0,3.0,,8.0,,,,R 06,Probleme mit Kontaktrohr,,,8.5,19.999999999999982,0.4250000000000004,59.99999999999995,19.999999999999982,0.4250000000000004,31.99999999999995,10.66666666666665,0.7968750000000012,31.99999999999995,10.66666666666665,0.7968750000000012,0.0,600.0,660.0,probleme mit kontaktrohr,probleme mit kontaktrohr
2024-06-25,3,2023-03-29,2023/13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
2024-06-24,3,2023-03-29,2023/13,,,s,21:00:00,21:45:00,45.0,5.0,,,3.0,3.0,,5.0,,,,,Anlage leer gelaufen auffüllen,,,8.5,15.0,0.5666666666666667,45.0,15.0,0.5666666666666667,30.0,10.0,0.85,30.0,10.0,0.85,0.0,1260.0,1305.0,anlage leer gelaufen auffüllen,"anlage leer gelaufen, auffüllen"
2024-06-25,3,2023-03-29,2023/13,,,f,09:30:00,10:00:00,30.000000000000053,5.0,,,3.0,3.0,,,,,,,,,,8.5,10.000000000000018,0.8499999999999985,30.000000000000053,10.000000000000018,0.8499999999999985,30.000000000000053,10.000000000000018,0.8499999999999985,30.000000000000053,10.000000000000018,0.8499999999999985,0.0,570.0,600.0,,
2024-06-24,3,2023-03-29,2023/13,,,,,,,,,,,,,,,10.0,,,Reinigen,,,,,,,,,,,,,,,0.0,,,reinigen,reinigen
2024-06-25,3,2023-03-29,2023/13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
,3,2023-03-29,2023/13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
,3,2023-03-29,2023/13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
2024-06-25,3,2023-03-29,2023/13,,,f,04:45:00,06:00:00,75.00000000000001,5.0,,,5.0,5.0,,,,15.0,,,Wartungsplan,,,8.5,15.000000000000004,0.5666666666666665,75.00000000000001,15.000000000000004,0.5666666666666665,55.000000000000014,11.000000000000004,0.7727272727272725,55.000000000000014,11.000000000000004,0.7727272727272725,0.0,285.0,360.0,wartungsplan,wartungsplan
2024-06-25,3,2023-03-29,2023/13,,,,,,,,,,,,,,,5.0,,,"Störung vom Computer, kein Zugriff auf Cloudfestplatten und Workflow, Computer neu gestartet",,,,,,,,,,,,,,,0.0,,,"störung vom computer, kein zugriff auf cloudfestplatten und workflow, computer neu gestartet","störung vom computer, kein zugriff auf cloudfestplatten und workflow, computer neu gestartet"
2024-06-25,3,2023-03-29,2023/13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
2024-06-25,3,2023-03-29,2023/13,,,f,06:00:00,07:00:00,60.00000000000003,5.0,,,6.0,6.0,,,,,,,,,,8.5,10.000000000000005,0.8499999999999995,60.00000000000003,10.000000000000005,0.8499999999999995,60.00000000000003,10.000000000000005,0.8499999999999995,60.00000000000003,10.000000000000005,0.8499999999999995,0.0,360.0,420.0,,
,3,2023-03-29,2023/13,,,,,,0.0,,,,,,,,,,,,,,,8.5,0.0,0%,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0%,0.0,,,,
2024-06-25,3,2023-03-29,2023/13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
2024-06-25,3,2023-03-29,2023/13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
2024-06-25,3,2023-03-29,2023/13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
2024-06-25,3,2023-03-29,2023/13,,,f,08:00:00,09:00:00,60.00000000000003,5.0,,,6.0,6.0,,,,,,,,,,8.5,10.000000000000005,0.8499999999999995,60.00000000000003,10.000000000000005,0.8499999999999995,60.00000000000003,10.000000000000005,0.8499999999999995,60.00000000000003,10.000000000000005,0.8499999999999995,0.0,480.0,540.0,,
2024-06-25,3,2023-03-29,2023/13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
2024-06-25,3,2023-03-29,2023/13,,,f,07:00:00,08:00:00,59.99999999999995,5.0,,,6.0,6.0,,5.0,,,,,Robotertechniker in der Anlage zum tauschen der Brennerreinigungsbohrkopfes,,,8.5,9.999999999999991,0.8500000000000008,59.99999999999995,9.999999999999991,0.8500000000000008,54.99999999999995,9.166666666666659,0.927272727272728,54.99999999999995,9.166666666666659,0.927272727272728,0.0,420.0,480.0,robotertechniker in der anlage zum tauschen der brennerreinigungsbohrkopfes,robotertechniker in der anlage zum tauschen der brennerreinigungsbohrkopfes
2024-06-25,3,2023-03-29,2023/13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
2024-06-25,3,2023-03-29,2023/13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
2024-06-26,3,2023-03-30,2023/13,,,,,,,,,,,,,,,10.0,,,Reinigen,,,,,,,,,,,,,,,0.0,,,reinigen,reinigen
2024-06-26,3,2023-03-30,2023/13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
2024-06-26,3,2023-03-30,2023/13,,,f,12:00:00,13:15:00,75.00000000000006,5.0,,,6.0,6.0,,,,,,,,,,8.5,12.500000000000009,0.6799999999999995,75.00000000000006,12.500000000000009,0.6799999999999995,65.00000000000006,10.833333333333343,0.7846153846153839,65.00000000000006,10.833333333333343,0.7846153846153839,0.0,720.0,795.0,,
2024-06-26,3,2023-03-30,2023/13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
2024-06-26,3,2023-03-30,2023/13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
2024-06-26,3,2023-03-30,2023/13,,,f,11:00:00,12:00:00,60.00000000000003,5.0,,,7.0,7.0,,,,,,,,,,8.5,8.571428571428575,0.9916666666666663,60.00000000000003,8.571428571428575,0.9916666666666663,60.00000000000003,8.571428571428575,0.9916666666666663,60.00000000000003,8.571428571428575,0.9916666666666663,0.0,660.0,720.0,,
2024-06-26,3,2023-03-30,2023/13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
2024-06-26,3,2023-03-30,2023/13,,,f,10:00:00,11:00:00,59.99999999999995,5.0,,,6.0,6.0,,,,,,,,,,8.5,9.999999999999991,0.8500000000000008,59.99999999999995,9.999999999999991,0.8500000000000008,59.99999999999995,9.999999999999991,0.8500000000000008,59.99999999999995,9.999999999999991,0.8500000000000008,0.0,600.0,660.0,,
2024-06-26,3,2023-03-30,2023/13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
2024-06-26,3,2023-03-30,2023/13,,,,,,,,,,,,,,,10.0,,,"Anlage leer gelaufen, auffüllen",,,,,,,,,,,,,,,0.0,,,"anlage leer gelaufen, auffüllen","anlage leer gelaufen, auffüllen"
2024-06-26,3,2023-03-30,2023/13,,,f,09:00:00,10:00:00,60.00000000000003,5.0,,,3.0,3.0,,20.0,,,,R 03,Drahtfasswechsel ( Hit Welding Industry  Drahtfass ) ,,,8.5,20.00000000000001,0.42499999999999977,60.00000000000003,20.00000000000001,0.42499999999999977,30.00000000000003,10.000000000000009,0.8499999999999992,30.00000000000003,10.000000000000009,0.8499999999999992,0.0,540.0,600.0,drahtfasswechsel ( hit welding industry drahtfass ),drahtfasswechsel ( hit welding industry drahtfass )
2024-06-26,3,2023-03-30,2023/13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
2024-06-26,3,2023-03-30,2023/13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
,3,2023-03-30,2023/13,,,,,,0.0,,,,,,,,,,,,,,,8.5,0.0,0%,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0%,0.0,,,,
2024-06-26,3,2023-03-30,2023/13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
,3,2023-03-30,2023/13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
2024-06-26,3,2023-03-30,2023/13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
2024-06-26,3,2023-03-30,2023/13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
2024-06-26,3,2023-03-30,2023/13,,,s,17:00:00,18:00:00,59.99999999999995,5.0,,,4.0,4.0,,,24.0,,,OP.90,OP.100-OP110.-    Mehraufwand Nachschweißen . ( Stuetzen ),4.0,,8.5,14.999999999999988,0.5666666666666671,59.99999999999995,14.999999999999988,0.5666666666666671,59.99999999999995,14.999999999999988,0.5666666666666671,59.99999999999995,14.999999999999988,0.5666666666666671,0.0,1020.0,1080.0,op.100-op110.- mehraufwand nachschweißen . ( stuetzen ),op.100-op110.- mehraufwand nachschweißen . ( stuetzen )
2024-06-26,3,2023-03-30,2023/13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
2024-06-26,3,2023-03-30,2023/13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
2024-06-26,3,2023-03-30,2023/13,,,s,16:00:00,17:00:00,60.00000000000011,5.0,,,6.0,6.0,,,15.0,,,OP.90,OP.100-OP110.-    Mehraufwand Nachschweißen . ( Stuetzen ),3.0,,8.5,10.000000000000018,0.8499999999999985,60.00000000000011,10.000000000000018,0.8499999999999985,60.00000000000011,10.000000000000018,0.8499999999999985,60.00000000000011,10.000000000000018,0.8499999999999985,0.0,960.0,1020.0,op.100-op110.- mehraufwand nachschweißen . ( stuetzen ),op.100-op110.- mehraufwand nachschweißen . ( stuetzen )
2024-06-26,3,2023-03-30,2023/13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
2024-06-26,3,2023-03-30,2023/13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
2024-06-26,3,2023-03-30,2023/13,,,s,15:00:00,16:00:00,59.99999999999995,5.0,,,6.0,6.0,,,12.0,,,,OP.100-OP110.-    Mehraufwand Nachschweißen . ( Stuetzen ),2.0,,8.5,9.999999999999991,0.8500000000000008,59.99999999999995,9.999999999999991,0.8500000000000008,59.99999999999995,9.999999999999991,0.8500000000000008,59.99999999999995,9.999999999999991,0.8500000000000008,0.0,900.0,960.0,op.100-op110.- mehraufwand nachschweißen . ( stuetzen ),op.100-op110.- mehraufwand nachschweißen . ( stuetzen )
2024-06-26,3,2023-03-30,2023/13,,,,,,,,,,,,,,,,,,Pause vorgezogen,,,,,,,,,,,,,,,0.0,,,pause vorgezogen,pause vorgezogen
2024-06-26,3,2023-03-30,2023/13,,,,,,,,,,,,,10.0,,,,R.06,Probleme mit Kontaktrohr ( Draht festgeschweißt ),2.0,,,,,,,,,,,,,,0.0,,,probleme mit kontaktrohr ( draht festgeschweißt ),probleme mit kontaktrohr ( draht festgeschweißt )
2024-06-26,3,2023-03-30,2023/13,,,s,14:00:00,15:00:00,59.99999999999995,5.0,,,6.0,6.0,,,,,,,,,,8.5,9.999999999999991,0.8500000000000008,59.99999999999995,9.999999999999991,0.8500000000000008,49.99999999999995,8.333333333333325,1.020000000000001,49.99999999999995,8.333333333333325,1.020000000000001,0.0,840.0,900.0,,
2024-06-26,3,2023-03-30,2023/13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
2024-06-26,3,2023-03-30,2023/13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
2024-06-26,3,2023-03-30,2023/13,,,s,13:15:00,14:00:00,45.0,5.0,,,4.0,4.0,,,,15.0,,,Wartungsplan,,,8.5,11.25,0.7555555555555555,45.0,11.25,0.7555555555555555,30.0,7.5,1.1333333333333333,30.0,7.5,1.1333333333333333,0.0,795.0,840.0,wartungsplan,wartungsplan
,3,2023-03-30,2023/13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
2024-06-26,3,2023-03-30,2023/13,,,f,08:00:00,08:30:00,30.000000000000053,5.0,,,,,,30.0,,,,R 05,Störung beim Ansaugen von STW - MT in Op30 Robtech informiert,,,8.5,0.0,0%,30.000000000000053,0.0,0%,5.3290705182007514e-14,0.0,0%,5.3290705182007514e-14,0.0,0%,0.0,480.0,510.0,störung beim ansaugen von stw - mt in op30 robtech informiert,störung beim ansaugen von stw - mt in op30 robtech informiert
2024-06-26,3,2023-03-30,2023/13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
2024-06-26,3,2023-03-30,2023/13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
2024-06-25,3,2023-03-30,2023/13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
2024-06-25,3,2023-03-30,2023/13,,,s,18:00:00,19:00:00,59.99999999999995,5.0,,,7.0,7.0,,,,,,,,,,8.5,8.571428571428564,0.9916666666666675,59.99999999999995,8.571428571428564,0.9916666666666675,59.99999999999995,8.571428571428564,0.9916666666666675,59.99999999999995,8.571428571428564,0.9916666666666675,0.0,1080.0,1140.0,,
2024-06-25,3,2023-03-30,2023/13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
2024-06-25,3,2023-03-30,2023/13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
2024-06-25,3,2023-03-30,2023/13,,,s,17:30:00,18:00:00,30.000000000000053,5.0,,,3.0,3.0,,,,,,,,,,8.5,10.000000000000018,0.8499999999999985,30.000000000000053,10.000000000000018,0.8499999999999985,30.000000000000053,10.000000000000018,0.8499999999999985,30.000000000000053,10.000000000000018,0.8499999999999985,0.0,1050.0,1080.0,,
2024-06-25,3,2023-03-30,2023/13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
2024-06-26,3,2023-03-30,2023/13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
2024-06-25,3,2023-03-30,2023/13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
2024-06-25,3,2023-03-30,2023/13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
2024-06-25,3,2023-03-30,2023/13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
2024-06-25,3,2023-03-30,2023/13,,,s,15:00:00,16:00:00,59.99999999999995,5.0,,,7.0,7.0,,,,,,,,,,8.5,8.571428571428564,0.9916666666666675,59.99999999999995,8.571428571428564,0.9916666666666675,59.99999999999995,8.571428571428564,0.9916666666666675,59.99999999999995,8.571428571428564,0.9916666666666675,0.0,900.0,960.0,,
2024-06-25,3,2023-03-30,2023/13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
2024-06-25,3,2023-03-30,2023/13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
